title,ingredients,directions,link,source,NER,portions
Smoothie banane fraise,"1 banane moyenne, 250 ml de fraises tranchées, 2 cuillères à soupe de sucre, 1/4 cuillère à café de vanille, 1 125 ml de lait entier froid","[""Mettre les ingrédients dans un mixeur et fouetter pendant 1 minute."", ""Servir immédiatement."", ""Donne 2 grands verres.""]",www.cookbooks.com/Recipe-Details.aspx?id=579154,Gathered,"[""banane"", ""fraises"", ""sucre"", ""vanille"", ""lait""]",1
Smoothie aux fraises sans matières grasses,"« 500 ml de yaourt glacé à la vanille sans matières grasses », « 1 125 ml de fraises fraîches », « 2 cuillères à soupe de sucre », « 2 cuillères à café de jus de citron », « 500 ml de glace pilée », « fraise fraîche supplémentaire »","[« Mélanger le yaourt, 350 ml (1 1/2 tasse) de fraises, le sucre, le jus de citron et la glace dans le récipient d'un mixeur électrique ; mixer jusqu'à obtenir une consistance lisse. Garnir de fraises supplémentaires. »]",www.cookbooks.com/Recipe-Details.aspx?id=224353,Gathered,"[""vanille sans matières grasses"", ""fraises fraîches"", ""sucre"", ""jus de citron"", ""glace pilée"", ""fraises fraîches""]",4
Un bon smoothie à la banane et aux baies,"« 2 bananes », « 500 ml de fraises (surgelées, c'est bien) », « 250 ml de lait », « 250 ml de yaourt nature »","[« Pelez et coupez les bananes. », « Lavez et coupez le dessus des fraises. », « Mettez dans un mixeur avec le lait et le yaourt et mixez. », « Versez dans des tasses et dégustez ! »]",www.cookbooks.com/Recipe-Details.aspx?id=369791,Gathered,"[""bananes"", ""fraises"", ""lait"", ""yaourt nature""]",3
Smoothie aux canneberges,"« 500 ml de jus de canneberge », « 225 g de yaourt à la vanille en carton », « 473 ml de fraises », « 1 banane coupée en tranches »","[« Mélanger la moitié des ingrédients dans un mixeur électrique ; mixer jusqu'à obtenir une consistance lisse. », « Répéter l'opération avec le reste des ingrédients. Mélanger les préparations. », « Verser dans des verres individuels. », « Pour environ », « 4 tasses. »]",www.cookbooks.com/Recipe-Details.aspx?id=945352,Gathered,"[""jus de canneberge"", ""yaourt à la vanille"", ""fraises"", ""banane""]",4
Smoothie pêche-baies,"« 2 (225 g) de yaourt à la fraise sans gras », « 250 ml de pêches fraîches ou surgelées tranchées », « 250 ml de fraises tranchées (fraîches ou surgelées) », « 250 ml de glace pilée »","[« Mélanger tous les ingrédients dans le récipient du mélangeur. », « Couvrir et mélanger de 30 à 60 secondes ou jusqu'à consistance lisse. », « Servir immédiatement. », « Donne 4 portions (1 tasse) ».]",www.cookbooks.com/Recipe-Details.aspx?id=378292,Gathered,"[""yaourt à la fraise"", ""pêches"", ""fraises"", ""glace pilée""]",4
Smoothie basique à la papaye (6 portions),"« 2 grosses papayes, pelées, épépinées et coupées en tranches », « 83 ml de lait de coco », « 750 ml. à soupe de jus de fruit de la passion (en conserve, c'est bon) », « 1 grosse banane, pelée et coupée en morceaux », « 85 g de fraises surgelées avec leur jus », « 6 glaçons écrasés »","[« Ajoutez la papaye, le lait de coco et le jus de fruits dans le bol du mixeur. Mixez. », « Ajoutez les morceaux de banane dans le mixeur, quelques-uns à la fois. », « Ajoutez les fraises. », « Mixez jusqu'à obtenir une consistance lisse. Ajoutez de la glace pilée et fouettez jusqu'à obtenir une consistance granitée. », « Servez immédiatement. »]",www.cookbooks.com/Recipe-Details.aspx?id=842578,Gathered,"[""papaye"", ""lait de coco"", ""jus de fruits"", ""banane"", ""fraises surgelées""]",3
Smoothie au yaourt et au kiwi,"« 2 kiwis coupés en tranches », « 1 banane », « 62 ml de yaourt nature faible en gras », « 3 glaçons », « 2 grosses fraises »","[« Mélanger le kiwi, la banane, le yaourt et les glaçons dans le bol d'un mixeur. », « Réduire en purée. », « Verser dans 2 verres. », « Garnir de fraises. »]",www.cookbooks.com/Recipe-Details.aspx?id=624834,Gathered,"[""fruit"", ""banane"", ""yaourt"", ""cubes"", ""fraises""]",2
Smoothie à l'orange,"250 ml de boisson ananas-orange, réfrigérée, 225 ml de yaourt à l'orange, 125 ml de lait, 1 petite banane mûre","[« Mélanger les ingrédients dans un mixeur. », « Couvrir et faire fonctionner à puissance maximale jusqu'à obtenir une consistance lisse et homogène. », « Donne 2 portions (12 onces) ».]",www.cookbooks.com/Recipe-Details.aspx?id=380108,Gathered,"[""ananas"", ""yaourt à l'orange"", ""lait"", ""banane""]",2
Smoothie aux fruits,"250 ml (8 g) de yaourt, n'importe quelle saveur ou nature, 250 ml de lait ou n'importe quel jus aromatisé, 1 grosse banane tranchée, 1/2 cuillère à café d'extrait de vanille, 8 à 10 glaçons","[« Placez tous les ingrédients, sauf les glaçons, dans le récipient d'un mixeur électrique et mixez à vitesse élevée jusqu'à obtenir une consistance lisse. », « Pendant que le mixeur fonctionne, ajoutez 2 à 3 glaçons à la fois par l'ouverture centrale du couvercle. », « Une fois tous les glaçons ajoutés, mixez jusqu'à obtenir une consistance lisse. »]",www.cookbooks.com/Recipe-Details.aspx?id=108740,Gathered,"[""yaourt"", ""lait"", ""banane"", ""vanille""]",2
Smoothie aux baies et à la banane,"« 1 petite banane, pelée et coupée en morceaux », « 62 ml de baies fraîches ou congelées (fraises, framboises et/ou mûres) », « 250 ml de jus d'orange », « 750 ml. à soupe de yaourt à la vanille faible en gras »",[« Mélanger les ingrédients dans un mixeur ; couvrir et mixer jusqu'à obtenir une consistance lisse. Donne 2 portions (225 g). »],www.cookbooks.com/Recipe-Details.aspx?id=94188,Gathered,"[""banane"", ""jus d'orange"", ""yaourt à la vanille allégé""]",2
Smoothie à la banane,"1 banane coupée en morceaux de 2,5 cm, 1 125 ml de lait, 225 g de yaourt à la vanille ou autre*","[""*Avec du yaourt nature, ajoutez 2 cuillères à soupe de sucre et 1 cuillère à café de vanille.""]",www.cookbooks.com/Recipe-Details.aspx?id=806040,Gathered,"[""banane"", ""lait"", ""vanille""]",1
Smoothie aux deux fruits,"« 1 carton (8 g) de yaourt nature », « 1/2 à 188 ml de lait écrémé », « 250 ml de fraises congelées non sucrées », « 2 bananes, tranchées et congelées », « glaçons »","[« Mélanger tous les ingrédients dans un mélangeur électrique. », « Ajouter suffisamment de glaçons pour obtenir un volume de 4 tasses. », « Mélanger jusqu'à consistance lisse. », « Servir immédiatement. », « Chaque portion contient 100 calories par tasse. », « Nutritif pendant la grossesse (consulter votre médecin). »]",www.cookbooks.com/Recipe-Details.aspx?id=396676,Gathered,"[""yaourt"", ""lait"", ""fraises"", ""bananes""]",4
Smoothie à la tarte à la citrouille,"1 boîte (15 g) de purée de citrouille solide, 1 boîte (12 g) de concentré de jus de pomme congelé, 1/2,0 L. à thé de muscade moulue, 250 ml. à thé de cannelle moulue, 2 1/500 ml. d'eau","[« Retirer la citrouille de la boîte ; la congeler pendant 1 heure. », « Dans un mélangeur, mélanger la citrouille partiellement congelée, le concentré de jus de pomme congelé, la muscade et la cannelle. », « Mélanger jusqu'à obtenir une consistance lisse. », « Continuer à mélanger tout en ajoutant de l'eau pour remplir le mélangeur. », « Donne 4 portions. »]",www.cookbooks.com/Recipe-Details.aspx?id=123682,Gathered,"[""purée de citrouille"", ""concentré de jus de pomme"", ""noix de muscade moulue"", ""cannelle moulue"", ""eau""]",4
Smoothie Glace Lait,"250 ml de glace, 250 ml de lait écrémé, 1 (3 g) mesure de yogourt glacé à la vanille faible en gras, 125 ml de fraises congelées, 1/2 banane","[""Mélanger au mixeur pendant 30 secondes.""]",www.cookbooks.com/Recipe-Details.aspx?id=123081,Gathered,"[""lait"", ""yaourt glacé"", ""fraises glacées"", ""banane""]",2
Smoothie rose,"« 2 bananes mûres de taille moyenne, pelées », « 1 125 ml de jus de framboise », « 250 ml de yaourt glacé à la vanille, ramolli », « 250 ml de framboises fraîches »",[« Placez tous les ingrédients dans un mixeur et mixez jusqu’à obtenir une consistance lisse. »],www.cookbooks.com/Recipe-Details.aspx?id=279113,Gathered,"[""bananes"", ""jus de framboise"", ""yaourt à la vanille"", ""framboises fraîches""]",2
Smoothie énergisant,"125 ml de fraises surgelées, décongelées, 125 ml de lait écrémé, 1/2 banane pelée, 1/2 paquet de préparation instantanée pour petit-déjeuner à la vanille, 125 ml de yaourt glacé (vanille ou pêche sans matières grasses)","[« Réduisez les fraises en purée. », « Ajoutez le lait, la banane, le petit-déjeuner instantané et le yaourt glacé et mélangez jusqu'à obtenir une consistance lisse. »]",www.cookbooks.com/Recipe-Details.aspx?id=219393,Gathered,"[""fraises congelées"", ""lait"", ""banane"", ""petit-déjeuner instantané à la vanille"", ""yaourt glacé""]",1
Smoothie à la banane pour le petit-déjeuner,"6 cuillères à soupe de limonade congelée ou de concentré de jus d'orange, non décongelé, 2 bananes mûres, 250 ml de myrtilles ou de fraises fraîches, 500 ml de lait, 1 cuillère à soupe de miel, 1 cuillère à café d'extrait de vanille, 8 glaçons","[« Traitez tous les ingrédients dans un mixeur, en vous arrêtant pour racler les parois. », « Versez le mélange dans des verres refroidis. »]",www.cookbooks.com/Recipe-Details.aspx?id=47748,Gathered,"[""limonade glacée"", ""bananes"", ""myrtilles fraîches"", ""lait"", ""miel"", ""extrait de vanille"", ""cubes""]",2
Smoothie banane Split,"1- 3 g de banane, 125 ml de lait écrémé, 125 ml de fraises surgelées, 250 ml. à soupe de sirop de chocolat, 1/2,0 L. à thé de vanille, 3 sachets de glace, beaucoup de glaçons","[""Mettez tous les ingrédients dans un mixeur et mixez jusqu'à obtenir une consistance épaisse.""]",www.cookbooks.com/Recipe-Details.aspx?id=94022,Gathered,"[« Banane », « Lait », « Fraises glacées », « Sirop de chocolat », « Vanille », « Égal », « Beaucoup de glace »]",8
Smoothie fraise-banane,"« 500 ml de glace pilée », « 250 ml de lait froid », « 1 paquet (113 g) de gelée à la fraise », « 225 g de yaourt à la vanille », « 1 grosse banane »","[""Mélanger au mixeur jusqu'à obtenir une consistance lisse.""]",www.cookbooks.com/Recipe-Details.aspx?id=48028,Gathered,"[""glace pilée"", ""lait froid"", ""gelée de fraise"", ""yaourt à la vanille"", ""banane""]",2
Smoothie à la mangue,"« 4 grosses mangues, pelées et coupées en petits morceaux », « 500 ml de glace », « 2 cuillères à soupe de miel », « 250 ml de lait écrémé »","[« Mélanger les mangues, la glace, le miel et le lait dans un mixeur ou un robot culinaire. », « Réduire en purée jusqu'à obtenir une consistance épaisse. », « Servir dans des verres avec une garniture à la menthe. », « Pour 4 personnes. »]",www.cookbooks.com/Recipe-Details.aspx?id=635265,Gathered,"[""mangues"", ""miel"", ""lait écrémé""]",4
Smoothie au chocolat fondant (micro-ondes),"« 1 paquet (6 g) de morceaux de chocolat mi-sucré (250 ml) », « 125 ml de lait concentré sucré », « 250 ml de sucre en poudre tamisé », « 1/500 ml. à thé de vanille », « une pincée de sel », « 83 ml de noix hachées »","[« Dans un bol en verre d'un litre, mélanger le chocolat et le lait. Cuire au micro-ondes, à couvert, jusqu'à ce que le chocolat fonde, environ 1 minute, en remuant une fois. », « Incorporer le sucre, la vanille et le sel. », « Incorporer les noix. »]",www.cookbooks.com/Recipe-Details.aspx?id=170230,Gathered,"[""chocolat mi-sucré"", ""lait concentré"", ""sucre en poudre"", ""vanille"", ""sel"", ""noix""]",4
Smoothie aux myrtilles,"« 225 ml d'eau », « 62 ml de lait en poudre », « 62 ml de lait de soja en poudre », « 2 cuillères à soupe de germe de blé », « 1/3 de contenant de yaourt aux bleuets », « 1 petite banane », « 83 ml de bleuets (frais ou congelés) »",[« Mettez tous les ingrédients dans un mixeur. Mixez pendant environ 1 minute. Pour 1 grand verre. »],www.cookbooks.com/Recipe-Details.aspx?id=63425,Gathered,"[""eau"", ""lait"", ""lait de soja"", ""germe"", ""yaourt aux myrtilles"", ""banane"", ""myrtilles""]",1
Smoothie à la banane glacée,"250 ml de lait froid ou moitié-moitié, 125 ml (1) de banane mûre écrasée, 125 ml de crème de liqueur de banane, 83 ml de sirop Hershey's, 2 125 ml de glaçons","[« Dans le récipient du mixeur, mettre tous les ingrédients. », « Couvrir ; mixer à grande vitesse pendant 2 minutes. », « Diminuer la vitesse ; mixer 1 minute de plus ou jusqu'à obtenir une consistance mousseuse. », « Décorer de feuilles de menthe. »]",www.cookbooks.com/Recipe-Details.aspx?id=407802,Gathered,"[""lait froid"", ""banane mûre écrasée"", ""liqueur de crème de banane"", ""sirop""]",2
Smoothie banane framboise,"« 5 sachets de Splenda (édulcorant sans calories) », « 1 grosse banane tranchée », « 125 ml de lait écrémé », « 1 62 ml de framboises surgelées non sucrées »",[« Déposer les tranches de banane sur une assiette et les congeler 10 minutes ou jusqu'à ce qu'elles soient légèrement fermes. Mélanger tous les ingrédients dans un blender. Mixer à vitesse moyenne jusqu'à obtenir une consistance lisse. Verser dans des verres et décorer de framboises. »],www.cookbooks.com/Recipe-Details.aspx?id=63043,Gathered,"[""paquets"", ""banane"", ""lait"", ""framboises""]",1
Smoothie orange ananas,"250 ml de jus d'orange, 2 tranches d'ananas frais ou en conserve, 1 fine bande de zeste d'orange, 1 boule de glace à la vanille","[« Mixez le jus d'orange, l'ananas et le zeste d'orange dans un mixeur pendant 20 secondes. », « Ajoutez la glace et mixez 10 secondes de plus. », « Donne 2 boissons. »]",www.cookbooks.com/Recipe-Details.aspx?id=699555,Gathered,"[""jus d'orange"", ""ananas"", ""fines lamelles de zeste d'orange"", ""glace à la vanille""]",1
Smoothie aux fruits sans matières grasses,"250 ml de jus d'orange ou de pomme fraîchement pressé, 1 banane congelée ou fraîche, 1 pomme épépinée, pelée et tranchée, 1 pêche ou 250 ml de fraises ou 1 à 500 ml de fruits de votre choix, plusieurs glaçons","[« Mettez le jus, la banane congelée ou fraîche et les fruits de votre choix dans un mixeur. », « Liquéfiez. », « Ajoutez des glaçons et mixez jusqu'à obtenir la consistance d'un shake. », « Prépare 1 grand ou 2 petits smoothies. »]",www.cookbooks.com/Recipe-Details.aspx?id=401234,Gathered,"[""orange fraîchement pressée"", ""banane"", ""évidée"", ""plusieurs glaçons""]",3
